O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,recommended department
5.45,8.67,3.45,5.34,4.23,9.23,4.56,6.78,7.89,6.12,LA
8.78,5.67,4.56,6.45,4.23,5.12,8.45,7.89,6.34,6.01,ES
6.12,6.78,9.34,7.56,5.01,6.23,4.23,6.45,6.67,8.45,LA
9.12,8.78,4.23,5.67,4.56,7.89,5.34,6.45,9.34,7.67,NS
6.45,7.56,5.67,9.12,4.23,5.34,4.01,6.23,5.78,8.67,LA
8.45,7.01,5.34,5.45,4.56,6.45,9.12,7.67,8.89,4.23,NS
4.01,8.23,6.67,9.34,5.12,4.56,4.45,7.45,5.78,7.78,NS
8.78,7.89,5.67,6.01,4.67,8.45,4.23,5.34,9.23,6.45,NS
8.78,7.45,5.34,8.45,6.01,4.56,4.01,4.23,6.67,9.23,NS
6.78,6.45,8.45,7.67,4.56,3.45,3.12,9.34,3.67,4.23,ES
6.23,7.34,8.78,7.45,5.67,5.12,4.34,4.67,6.01,7.89,LA
7.89,9.23,5.01,7.45,6.34,4.78,4.01,4.56,5.67,8.67,LA
9.34,3.56,7.23,6.78,5.45,2.89,2.34,9.12,5.23,4.01,ES
5.23,7.12,7.34,8.45,6.45,4.67,3.12,3.67,4.34,7.56,LA
4.56,6.78,5.67,3.23,2.89,8.12,8.67,4.01,7.45,3.45,NS
8.78,7.34,5.23,6.45,6.01,4.67,3.56,4.01,4.45,9.12,LA
9.45,8.01,4.67,5.56,4.01,7.78,7.45,6.67,9.12,6.34,NS
6.78,8.67,5.23,6.45,4.01,9.12,2.89,3.56,3.23,4.45,LA
8.78,7.67,3.67,6.45,5.34,5.67,4.56,6.23,8.45,7.12,NS
6.67,6.01,8.45,8.23,4.34,3.78,3.45,6.78,4.56,7.45,ES
6.12,7.01,8.67,7.89,5.34,4.23,3.67,4.01,4.45,7.45,LA
9.12,7.45,4.23,5.67,3.78,7.01,6.45,6.78,8.78,6.01,NS
8.45,7.89,5.67,7.12,6.45,5.12,3.45,4.23,4.56,9.34,LA
6.34,8.12,2.89,6.78,4.78,7.45,3.23,3.56,4.23,7.01,NS
8.78,3.78,7.67,7.01,6.01,3.45,2.78,8.45,5.67,4.23,ES
6.45,7.23,8.12,7.45,5.78,4.67,3.01,3.67,4.45,7.67,LA
7.89,7.67,4.01,5.23,4.56,9.45,3.45,6.78,8.78,5.34,NS
7.01,3.78,8.45,6.78,5.45,3.56,5.12,9.23,3.01,4.23,ES
6.67,8.23,5.12,6.01,4.45,9.12,3.34,3.78,4.23,7.45,NS
7.12,9.45,4.23,6.78,4.56,8.67,3.23,3.67,4.01,6.45,NS
7.56,7.01,4.67,9.23,6.34,3.45,2.89,4.45,3.12,6.67,LA
5.67,8.78,6.67,6.34,4.34,9.23,3.01,3.78,3.45,4.01,LA
8.78,7.67,4.01,5.23,4.56,7.12,3.45,6.78,8.45,5.34,NS
6.45,6.67,7.01,8.12,5.56,4.01,3.23,3.78,4.23,7.45,LA
6.78,8.45,5.12,6.01,4.56,7.89,3.45,3.67,4.23,7.34,NS
6.45,7.67,5.34,9.23,4.45,3.78,2.89,3.01,3.56,8.12,NA
6.01,7.34,4.01,5.23,4.67,8.78,8.23,6.78,7.45,5.45,NA
8.45,7.78,5.67,7.34,6.45,5.12,3.23,3.78,4.45,8.12,LA
6.78,8.67,4.45,6.01,4.78,8.34,3.23,3.67,4.12,7.23,LA
9.34,4.45,8.45,6.45,7.12,3.23,3.01,6.67,6.01,5.23,ES
