수면 시작 시간(0시 기준),총 수면 시간(분),수면 중 깸(분) ,렘 수면(분),얕은 수면(분),깊은 수면(분),평균 심박수(bpm),수면 점수
99,459,36,113,215,30,53,48
180,237,2,38,122,76,57,83
240,303,2,75,192,35,55,69
-108,551,44,108,324,75,53,49
140,392,9,99,243,45,54,65
135,425,14,90,279,48,55,62
172,258,5,44,164,48,58,72
69,408,18,65,144,48,55,61
194,208,0,22,146,40,59,75
153,370,28,41,212,21,55,51
54,507,44,105,201,76,49,50
-180,228,16,46,109,57,59,71
84,552,50,145,287,70,52,45
111,470,44,114,238,74,50,51
115,326,36,73,166,51,52,54
49,382,37,94,228,23,51,47
26,415,45,96,254,20,53,42
41,418,47,104,220,47,50,46
22,483,42,111,289,41,50,46
80,365,32,94,217,22,49,50
125,314,35,77,161,41,50,53
170,253,1,50,139,64,54,79
138,389,7,89,231,43,54,66
144,239,0,38,160,48,59,76
73,566,52,144,300,67,50,44
144,321,33,67,159,51,51,56
82,522,45,98,204,77,47,49
-103,563,40,99,320,79,52,51
72,535,46,154,280,74,53,48
167,270,6,43,155,45,58,70
-6,476,42,119,301,42,48,47
158,253,2,40,137,61,54,77
169,236,5,32,126,72,55,80
154,357,32,43,215,25,54,50
60,538,50,138,297,68,52,45
146,296,39,82,160,43,48,52
145,421,18,95,279,51,54,61
-178,240,16,37,114,58,59,70
-171,219,11,52,98,52,59,73
88,366,30,103,204,19,47,50
41,508,48,106,197,79,47,48
181,267,5,51,173,43,56,70
69,476,36,105,219,33,52,48
79,476,35,103,226,32,51,49
77,352,27,84,222,17,49,51
110,558,52,153,275,70,52,44
188,214,1,22,151,39,57,74
259,316,1,69,199,35,53,69
164,258,6,45,164,52,59,73
135,434,12,82,288,47,55,63
68,420,18,55,135,48,54,61
205,215,2,12,143,39,60,73
144,404,6,96,248,44,52,66
75,443,37,112,209,28,51,47
51,481,44,111,299,38,50,45
138,353,26,42,203,18,53,52
-185,242,12,48,107,55,58,71
132,322,40,74,176,54,52,53
196,260,2,53,128,60,52,77
215,217,5,13,133,43,59,73
109,373,34,102,224,17,47,48
44,400,42,103,267,15,51,43
-3,429,49,88,249,19,51,40
50,381,33,100,212,22,48,49
-163,231,20,43,111,57,58,69
153,266,4,43,163,45,58,71
154,247,6,29,118,77,55,80
246,317,1,83,185,38,53,69
27,427,46,94,248,24,52,42
168,392,12,95,253,47,52,64
50,426,44,89,250,20,52,43
4,417,40,103,255,22,51,45
36,427,49,98,267,19,53,40
184,219,6,38,112,78,55,83
168,234,3,31,113,80,55,84
187,257,3,43,137,62,55,77
125,402,9,98,240,49,53,66
71,441,39,107,207,32,51,47
88,478,38,111,209,34,51,47
15,486,41,103,282,37,51,46
203,248,3,44,124,75,58,81
150,315,36,69,172,44,49,53
-178,230,15,51,119,55,60,71
128,406,14,83,265,48,55,63
-87,557,45,115,313,70,54,48
34,488,41,111,214,79,49,52
44,420,49,92,243,15,52,40
112,421,11,84,269,47,54,64
145,411,8,100,246,43,53,65
87,377,32,100,209,19,48,49
189,225,5,40,122,76,56,83
124,443,13,82,276,44,55,62
174,261,4,48,124,61,54,76
71,512,42,111,207,75,48,51
43,396,36,100,232,26,52,48
53,386,41,103,229,19,49,44
93,462,40,118,206,34,52,47
192,200,1,24,155,42,60,76
122,411,15,98,276,44,53,61
64,397,35,100,216,22,50,48
123,429,1,100,290,39,51,67
170,541,12,96,379,66,63,64
