Combination,Average Deaths
"(34907, 64839, 25480)",41742.0
"(34907, 64839, 6887)",35544.333333333336
"(34907, 64839, 15064)",38270.0
"(34907, 64839, 9605)",36450.333333333336
"(34907, 64839, 6810)",35518.666666666664
"(34907, 64839, 8120)",35955.333333333336
"(34907, 64839, 24107)",41284.333333333336
"(34907, 64839, 22571)",40772.333333333336
"(34907, 64839, 14271)",38005.666666666664
"(34907, 64839, 9896)",36547.333333333336
"(34907, 64839, 10659)",36801.666666666664
"(34907, 64839, 7452)",35732.666666666664
"(34907, 64839, 6358)",35368.0
"(34907, 64839, 6045)",35263.666666666664
"(34907, 64839, 1600)",33782.0
"(34907, 64839, 3694)",34480.0
"(34907, 64839, 3379)",34375.0
"(34907, 64839, 4673)",34806.333333333336
"(34907, 64839, 5610)",35118.666666666664
"(34907, 64839, 3971)",34572.333333333336
"(34907, 64839, 8463)",36069.666666666664
"(34907, 64839, 6160)",35302.0
"(34907, 64839, 7203)",35649.666666666664
"(34907, 64839, 10341)",36695.666666666664
"(34907, 64839, 10282)",36676.0
"(34907, 64839, 9950)",36565.333333333336
"(34907, 64839, 9425)",36390.333333333336
"(34907, 64839, 6839)",35528.333333333336
"(34907, 64839, 8391)",36045.666666666664
"(34907, 64839, 30306)",43350.666666666664
"(34907, 64839, 135084)",78276.66666666667
"(34907, 64839, 175197)",91647.66666666667
"(34907, 64839, 21022)",40256.0
"(34907, 25480, 6887)",22424.666666666668
"(34907, 25480, 15064)",25150.333333333332
"(34907, 25480, 9605)",23330.666666666668
"(34907, 25480, 6810)",22399.0
"(34907, 25480, 8120)",22835.666666666668
"(34907, 25480, 24107)",28164.666666666668
"(34907, 25480, 22571)",27652.666666666668
"(34907, 25480, 14271)",24886.0
"(34907, 25480, 9896)",23427.666666666668
"(34907, 25480, 10659)",23682.0
"(34907, 25480, 7452)",22613.0
"(34907, 25480, 6358)",22248.333333333332
"(34907, 25480, 6045)",22144.0
"(34907, 25480, 1600)",20662.333333333332
"(34907, 25480, 3694)",21360.333333333332
"(34907, 25480, 3379)",21255.333333333332
"(34907, 25480, 4673)",21686.666666666668
"(34907, 25480, 5610)",21999.0
"(34907, 25480, 3971)",21452.666666666668
"(34907, 25480, 8463)",22950.0
"(34907, 25480, 6160)",22182.333333333332
"(34907, 25480, 7203)",22530.0
"(34907, 25480, 10341)",23576.0
"(34907, 25480, 10282)",23556.333333333332
"(34907, 25480, 9950)",23445.666666666668
"(34907, 25480, 9425)",23270.666666666668
"(34907, 25480, 6839)",22408.666666666668
"(34907, 25480, 8391)",22926.0
"(34907, 25480, 30306)",30231.0
"(34907, 25480, 135084)",65157.0
"(34907, 25480, 175197)",78528.0
"(34907, 25480, 21022)",27136.333333333332
"(34907, 6887, 15064)",18952.666666666668
"(34907, 6887, 9605)",17133.0
"(34907, 6887, 6810)",16201.333333333334
"(34907, 6887, 8120)",16638.0
"(34907, 6887, 24107)",21967.0
"(34907, 6887, 22571)",21455.0
"(34907, 6887, 14271)",18688.333333333332
"(34907, 6887, 9896)",17230.0
"(34907, 6887, 10659)",17484.333333333332
"(34907, 6887, 7452)",16415.333333333332
"(34907, 6887, 6358)",16050.666666666666
"(34907, 6887, 6045)",15946.333333333334
"(34907, 6887, 1600)",14464.666666666666
"(34907, 6887, 3694)",15162.666666666666
"(34907, 6887, 3379)",15057.666666666666
"(34907, 6887, 4673)",15489.0
"(34907, 6887, 5610)",15801.333333333334
"(34907, 6887, 3971)",15255.0
"(34907, 6887, 8463)",16752.333333333332
"(34907, 6887, 6160)",15984.666666666666
"(34907, 6887, 7203)",16332.333333333334
"(34907, 6887, 10341)",17378.333333333332
"(34907, 6887, 10282)",17358.666666666668
"(34907, 6887, 9950)",17248.0
"(34907, 6887, 9425)",17073.0
"(34907, 6887, 6839)",16211.0
"(34907, 6887, 8391)",16728.333333333332
"(34907, 6887, 30306)",24033.333333333332
"(34907, 6887, 135084)",58959.333333333336
"(34907, 6887, 175197)",72330.33333333333
"(34907, 6887, 21022)",20938.666666666668
"(34907, 15064, 9605)",19858.666666666668
"(34907, 15064, 6810)",18927.0
"(34907, 15064, 8120)",19363.666666666668
"(34907, 15064, 24107)",24692.666666666668
"(34907, 15064, 22571)",24180.666666666668
"(34907, 15064, 14271)",21414.0
"(34907, 15064, 9896)",19955.666666666668
"(34907, 15064, 10659)",20210.0
"(34907, 15064, 7452)",19141.0
"(34907, 15064, 6358)",18776.333333333332
"(34907, 15064, 6045)",18672.0
"(34907, 15064, 1600)",17190.333333333332
"(34907, 15064, 3694)",17888.333333333332
"(34907, 15064, 3379)",17783.333333333332
"(34907, 15064, 4673)",18214.666666666668
"(34907, 15064, 5610)",18527.0
"(34907, 15064, 3971)",17980.666666666668
"(34907, 15064, 8463)",19478.0
"(34907, 15064, 6160)",18710.333333333332
"(34907, 15064, 7203)",19058.0
"(34907, 15064, 10341)",20104.0
"(34907, 15064, 10282)",20084.333333333332
"(34907, 15064, 9950)",19973.666666666668
"(34907, 15064, 9425)",19798.666666666668
"(34907, 15064, 6839)",18936.666666666668
"(34907, 15064, 8391)",19454.0
"(34907, 15064, 30306)",26759.0
"(34907, 15064, 135084)",61685.0
"(34907, 15064, 175197)",75056.0
"(34907, 15064, 21022)",23664.333333333332
"(34907, 9605, 6810)",17107.333333333332
"(34907, 9605, 8120)",17544.0
"(34907, 9605, 24107)",22873.0
"(34907, 9605, 22571)",22361.0
"(34907, 9605, 14271)",19594.333333333332
"(34907, 9605, 9896)",18136.0
"(34907, 9605, 10659)",18390.333333333332
"(34907, 9605, 7452)",17321.333333333332
"(34907, 9605, 6358)",16956.666666666668
"(34907, 9605, 6045)",16852.333333333332
"(34907, 9605, 1600)",15370.666666666666
"(34907, 9605, 3694)",16068.666666666666
"(34907, 9605, 3379)",15963.666666666666
"(34907, 9605, 4673)",16395.0
"(34907, 9605, 5610)",16707.333333333332
"(34907, 9605, 3971)",16161.0
"(34907, 9605, 8463)",17658.333333333332
"(34907, 9605, 6160)",16890.666666666668
"(34907, 9605, 7203)",17238.333333333332
"(34907, 9605, 10341)",18284.333333333332
"(34907, 9605, 10282)",18264.666666666668
"(34907, 9605, 9950)",18154.0
"(34907, 9605, 9425)",17979.0
"(34907, 9605, 6839)",17117.0
"(34907, 9605, 8391)",17634.333333333332
"(34907, 9605, 30306)",24939.333333333332
"(34907, 9605, 135084)",59865.333333333336
"(34907, 9605, 175197)",73236.33333333333
"(34907, 9605, 21022)",21844.666666666668
"(34907, 6810, 8120)",16612.333333333332
"(34907, 6810, 24107)",21941.333333333332
"(34907, 6810, 22571)",21429.333333333332
"(34907, 6810, 14271)",18662.666666666668
"(34907, 6810, 9896)",17204.333333333332
"(34907, 6810, 10659)",17458.666666666668
"(34907, 6810, 7452)",16389.666666666668
"(34907, 6810, 6358)",16025.0
"(34907, 6810, 6045)",15920.666666666666
"(34907, 6810, 1600)",14439.0
"(34907, 6810, 3694)",15137.0
"(34907, 6810, 3379)",15032.0
"(34907, 6810, 4673)",15463.333333333334
"(34907, 6810, 5610)",15775.666666666666
"(34907, 6810, 3971)",15229.333333333334
"(34907, 6810, 8463)",16726.666666666668
"(34907, 6810, 6160)",15959.0
"(34907, 6810, 7203)",16306.666666666666
"(34907, 6810, 10341)",17352.666666666668
"(34907, 6810, 10282)",17333.0
"(34907, 6810, 9950)",17222.333333333332
"(34907, 6810, 9425)",17047.333333333332
"(34907, 6810, 6839)",16185.333333333334
"(34907, 6810, 8391)",16702.666666666668
"(34907, 6810, 30306)",24007.666666666668
"(34907, 6810, 135084)",58933.666666666664
"(34907, 6810, 175197)",72304.66666666667
"(34907, 6810, 21022)",20913.0
"(34907, 8120, 24107)",22378.0
"(34907, 8120, 22571)",21866.0
"(34907, 8120, 14271)",19099.333333333332
"(34907, 8120, 9896)",17641.0
"(34907, 8120, 10659)",17895.333333333332
"(34907, 8120, 7452)",16826.333333333332
"(34907, 8120, 6358)",16461.666666666668
"(34907, 8120, 6045)",16357.333333333334
"(34907, 8120, 1600)",14875.666666666666
"(34907, 8120, 3694)",15573.666666666666
"(34907, 8120, 3379)",15468.666666666666
"(34907, 8120, 4673)",15900.0
"(34907, 8120, 5610)",16212.333333333334
"(34907, 8120, 3971)",15666.0
"(34907, 8120, 8463)",17163.333333333332
"(34907, 8120, 6160)",16395.666666666668
"(34907, 8120, 7203)",16743.333333333332
"(34907, 8120, 10341)",17789.333333333332
"(34907, 8120, 10282)",17769.666666666668
"(34907, 8120, 9950)",17659.0
"(34907, 8120, 9425)",17484.0
"(34907, 8120, 6839)",16622.0
"(34907, 8120, 8391)",17139.333333333332
"(34907, 8120, 30306)",24444.333333333332
"(34907, 8120, 135084)",59370.333333333336
"(34907, 8120, 175197)",72741.33333333333
"(34907, 8120, 21022)",21349.666666666668
"(34907, 24107, 22571)",27195.0
"(34907, 24107, 14271)",24428.333333333332
"(34907, 24107, 9896)",22970.0
"(34907, 24107, 10659)",23224.333333333332
"(34907, 24107, 7452)",22155.333333333332
"(34907, 24107, 6358)",21790.666666666668
"(34907, 24107, 6045)",21686.333333333332
"(34907, 24107, 1600)",20204.666666666668
"(34907, 24107, 3694)",20902.666666666668
"(34907, 24107, 3379)",20797.666666666668
"(34907, 24107, 4673)",21229.0
"(34907, 24107, 5610)",21541.333333333332
"(34907, 24107, 3971)",20995.0
"(34907, 24107, 8463)",22492.333333333332
"(34907, 24107, 6160)",21724.666666666668
"(34907, 24107, 7203)",22072.333333333332
"(34907, 24107, 10341)",23118.333333333332
"(34907, 24107, 10282)",23098.666666666668
"(34907, 24107, 9950)",22988.0
"(34907, 24107, 9425)",22813.0
"(34907, 24107, 6839)",21951.0
"(34907, 24107, 8391)",22468.333333333332
"(34907, 24107, 30306)",29773.333333333332
"(34907, 24107, 135084)",64699.333333333336
"(34907, 24107, 175197)",78070.33333333333
"(34907, 24107, 21022)",26678.666666666668
"(34907, 22571, 14271)",23916.333333333332
"(34907, 22571, 9896)",22458.0
"(34907, 22571, 10659)",22712.333333333332
"(34907, 22571, 7452)",21643.333333333332
"(34907, 22571, 6358)",21278.666666666668
"(34907, 22571, 6045)",21174.333333333332
"(34907, 22571, 1600)",19692.666666666668
"(34907, 22571, 3694)",20390.666666666668
"(34907, 22571, 3379)",20285.666666666668
"(34907, 22571, 4673)",20717.0
"(34907, 22571, 5610)",21029.333333333332
"(34907, 22571, 3971)",20483.0
"(34907, 22571, 8463)",21980.333333333332
"(34907, 22571, 6160)",21212.666666666668
"(34907, 22571, 7203)",21560.333333333332
"(34907, 22571, 10341)",22606.333333333332
"(34907, 22571, 10282)",22586.666666666668
"(34907, 22571, 9950)",22476.0
"(34907, 22571, 9425)",22301.0
"(34907, 22571, 6839)",21439.0
"(34907, 22571, 8391)",21956.333333333332
"(34907, 22571, 30306)",29261.333333333332
"(34907, 22571, 135084)",64187.333333333336
"(34907, 22571, 175197)",77558.33333333333
"(34907, 22571, 21022)",26166.666666666668
"(34907, 14271, 9896)",19691.333333333332
"(34907, 14271, 10659)",19945.666666666668
"(34907, 14271, 7452)",18876.666666666668
"(34907, 14271, 6358)",18512.0
"(34907, 14271, 6045)",18407.666666666668
"(34907, 14271, 1600)",16926.0
"(34907, 14271, 3694)",17624.0
"(34907, 14271, 3379)",17519.0
"(34907, 14271, 4673)",17950.333333333332
"(34907, 14271, 5610)",18262.666666666668
"(34907, 14271, 3971)",17716.333333333332
"(34907, 14271, 8463)",19213.666666666668
"(34907, 14271, 6160)",18446.0
"(34907, 14271, 7203)",18793.666666666668
"(34907, 14271, 10341)",19839.666666666668
"(34907, 14271, 10282)",19820.0
